"chr","start","end","length","count","peak"
"chr1",1651120,1651379,259,7,1651307
"chr1",1660838,1661072,234,14,1660957
"chr1",1662569,1662812,243,24,1662710
"chr1",1665693,1665943,250,10,1665828
"chr1",1671226,1671519,293,13,1671405
"chr1",1671628,1672029,401,8.1,1671796
"chr1",1684339,1684753,414,15,1684431
"chr1",1685618,1686648,1030,32,1685944
"chr1",1692338,1692612,274,20,1692476
"chr1",1692740,1692957,217,11,1692819
"chr1",1693029,1693231,202,12,1693137
"chr1",1698341,1698617,276,27,1698475
"chr1",1699353,1699598,245,11,1699488
"chr1",1703254,1703458,204,12,1703343
"chr1",1703641,1703856,215,16,1703751
"chr1",1711700,1712089,389,9.1,1711952
"chr1",1726574,1726956,382,23,1726673
"chr1",1728032,1728235,203,10,1728152
"chr1",1742542,1742759,217,9.1,1742658
"chr1",1742853,1743124,271,10,1742991
"chr1",1748125,1748487,362,23,1748296
"chr1",1761708,1761927,219,24,1761806
"chr1",1763221,1763432,211,14,1763347
"chr1",1768700,1768956,256,15,1768810
"chr1",1768991,1769241,250,22,1769099
"chr1",1769884,1770154,270,18,1770062
"chr1",1771559,1771958,399,12,1771842
"chr1",1772363,1772582,219,13,1772451
"chr1",1784219,1784641,422,32,1784542
"chr1",1787869,1788106,237,9.1,1787975
"chr1",1788731,1788969,238,8.1,1788853
"chr1",1797406,1797664,258,28,1797540
"chr1",1799943,1800209,266,9.1,1800046
"chr1",1802780,1803681,901,41,1803539
"chr1",1806635,1806875,240,23,1806746
"chr1",1810866,1811134,268,13,1811011
"chr1",1811366,1811662,296,38,1811496
"chr1",1811757,1812022,265,27,1811901
"chr1",1812524,1812810,286,9.1,1812665
"chr1",1812875,1813193,318,10,1812927
"chr1",1815407,1815940,533,31,1815512
"chr1",1819098,1819344,246,14,1819241
"chr1",1820002,1820270,268,18,1820170
"chr1",1821384,1821716,332,20,1821513
"chr1",1847417,1847834,417,16,1847553
"chr1",1848870,1849212,342,10,1848924
"chr1",1874462,1874676,214,10,1874572
"chr1",2109626,2109890,264,7,2109719
"chr1",2112678,2113068,390,14,2112869
"chr1",2117366,2117645,279,12,2117475
"chr1",2117703,2117944,241,10,2117901
"chr1",2117979,2118228,249,14,2118073
"chr1",2122199,2122759,560,42,2122461
"chr1",2123244,2123579,335,8.1,2123369
"chr1",2126327,2127251,924,20,2126460
"chr1",2128416,2128621,205,8.1,2128502
"chr1",2130390,2130702,312,7,2130628
"chr1",2136803,2137213,410,10,2136928
"chr1",2140546,2140861,315,14,2140680
"chr1",2140934,2141665,731,13,2141066
"chr1",2142192,2142627,435,8.1,2142429
"chr1",2155808,2156015,207,17,2155902
"chr1",2158282,2158504,222,8.1,2158332
"chr1",2240162,2240674,512,12,2240550
"chr1",2241696,2241919,223,8.1,2241776
"chr1",2242223,2242424,201,12,2242320
"chr1",2243245,2244335,1090,17,2243893
"chr1",2244377,2244728,351,8.1,2244702
"chr1",2244785,2245275,490,12,2245153
"chr1",2271378,2271717,339,10,2271482
"chr1",2275079,2275280,201,9.1,2275178
"chr1",2278198,2278422,224,10,2278310
"chr1",2278512,2278933,421,10,2278626
"chr1",2279017,2279314,297,7,2279117
"chr1",2279620,2280114,494,8.1,2279845
"chr1",2282353,2283153,800,10,2282586
"chr1",2285089,2285337,248,9.1,2285189
"chr1",2285978,2286327,349,13,2286090
"chr1",2304707,2304925,218,7,2304805
"chr1",2310976,2311176,200,13,2311051
"chr1",2311354,2311938,584,16,2311502
"chr1",2312008,2312978,970,19,2312460
"chr1",2313176,2313623,447,9.1,2313396
"chr1",2317063,2317311,248,16,2317187
"chr1",2317346,2318441,1095,16,2318026
"chr1",2318493,2318966,473,11,2318823
"chr1",2321165,2321424,259,14,2321286
"chr1",2321478,2321870,392,11,2321567
"chr1",2321902,2322122,220,12,2321983
"chr1",2332794,2333078,284,13,2332963
"chr1",2334052,2334320,268,10,2334199
"chr1",2334765,2334996,231,12,2334906
"chr1",2337441,2337757,316,8.1,2337629
"chr1",2338348,2339025,677,14,2338489
"chr1",2339074,2339307,233,14,2339188
"chr1",2428503,2428939,436,11,2428648
"chr1",2430098,2430362,264,8.1,2430269
"chr1",2431195,2432250,1055,32,2431725
"chr1",2443166,2443699,533,14,2443304
"chr1",2444065,2444862,797,12,2444182
"chr1",2454107,2454308,201,15,2454232
"chr1",2516428,2516986,558,15,2516503
"chr1",2517124,2517427,303,9.1,2517313
"chr1",2533810,2534045,235,10,2533903
"chr1",2535222,2535529,307,7,2535286
"chr1",2536345,2536627,282,11,2536444
"chr1",2565717,2565950,233,18,2565839
"chr1",2566636,2567499,863,20,2567297
"chr1",2568110,2568638,528,34,2568259
"chr1",2568847,2569527,680,26,2569202
"chr1",2571742,2572418,676,14,2572278
"chr1",2977275,2978330,1055,12,2977400
"chr1",2980294,2980578,284,7,2980431
"chr1",2981524,2981888,364,17,2981745
"chr1",2982233,2982767,534,13,2982363
