"chr","start","end","length","count","peak"
"chr1",2004875,2005184,309,9.1,2004949
"chr1",2005599,2005916,317,14,2005709
"chr1",2006673,2007144,471,9.1,2006729
"chr1",2007202,2007606,404,9.1,2007343
"chr1",2014229,2014448,219,12,2014355
"chr1",2016169,2016470,301,20,2016284
"chr1",2035014,2035425,411,13,2035290
"chr1",2035733,2036239,506,15,2035869
"chr1",2040970,2041411,441,8.1,2041221
"chr1",2042254,2043000,746,13,2042603
"chr1",2045123,2045546,423,14,2045187
"chr1",2067336,2067588,252,12,2067411
"chr1",2067687,2068576,889,21,2067981
"chr1",2068640,2069050,410,11,2068899
"chr1",2069179,2069478,299,10,2069344
"chr1",2069592,2070350,758,18,2069958
"chr1",2070656,2071027,371,13,2070910
"chr1",2071250,2071564,314,18,2071381
"chr1",2071677,2072123,446,23,2071770
"chr1",2072189,2072390,201,12,2072330
"chr1",2085554,2085868,314,10,2085726
"chr1",2086536,2087201,665,15,2086914
"chr1",2091747,2092640,893,25,2092194
"chr1",2094360,2094845,485,13,2094631
"chr1",2094989,2095356,367,15,2095245
"chr1",2104109,2104867,758,16,2104407
"chr1",2104941,2105406,465,24,2105047
"chr1",2105457,2106002,545,9.1,2105710
"chr1",2111249,2111474,225,12,2111354
"chr1",2111508,2111708,200,10,2111613
"chr1",2111742,2112107,365,14,2111960
"chr1",2112147,2112362,215,11,2112264
"chr1",2114178,2115412,1234,31,2115098
"chr1",2116049,2116292,243,9.1,2116146
"chr1",2116507,2116716,209,10,2116604
"chr1",2116776,2116977,201,19,2116867
"chr1",2120804,2121625,821,11,2121092
"chr1",2125431,2125751,320,20,2125612
"chr1",2133218,2133488,270,11,2133361
"chr1",2140120,2140536,416,10,2140391
"chr1",2148416,2148659,243,9.1,2148547
"chr1",2148890,2149113,223,18,2148987
"chr1",2162213,2162568,355,15,2162335
"chr1",2170746,2171453,707,13,2171081
"chr1",2171486,2172017,531,18,2171668
"chr1",2178338,2178816,478,17,2178499
"chr1",2182052,2182370,318,10,2182303
"chr1",2183235,2183518,283,10,2183376
"chr1",2184288,2184538,250,19,2184409
"chr1",2184983,2185334,351,20,2185210
"chr1",2193623,2193895,272,10,2193708
"chr1",2195775,2196007,232,12,2195858
"chr1",2198842,2199152,310,15,2199028
"chr1",2199299,2199935,636,13,2199660
"chr1",2200368,2201391,1023,19,2200655
"chr1",2201484,2202093,609,10,2201834
"chr1",2202258,2202482,224,9.1,2202368
"chr1",2202836,2203174,338,7,2202925
"chr1",2204457,2205076,619,9.1,2204665
"chr1",2206005,2206505,500,8.1,2206153
"chr1",2210826,2211128,302,13,2211041
"chr1",2211211,2211916,705,19,2211705
"chr1",2213002,2213261,259,13,2213194
"chr1",2214290,2214659,369,12,2214418
"chr1",2217290,2217584,294,31,2217436
"chr1",2221043,2222261,1218,27,2221308
"chr1",2222318,2222596,278,19,2222443
"chr1",2222690,2223025,335,22,2222838
"chr1",2230570,2230837,267,13,2230711
"chr1",2235146,2235718,572,18,2235421
"chr1",2241882,2242936,1054,16,2242300
"chr1",2244722,2245028,306,10,2244911
"chr1",2247440,2247959,519,11,2247704
"chr1",2327347,2328212,865,24,2327478
"chr1",2331237,2331709,472,10,2331464
"chr1",2335469,2336541,1072,29,2336409
"chr1",2336581,2337535,954,27,2337204
"chr1",2337665,2338726,1061,13,2338576
"chr1",2338776,2339016,240,15,2338890
"chr1",2339066,2339359,293,9.1,2339123
"chr1",2350675,2351377,702,12,2350924
"chr1",2351584,2351986,402,8.1,2351732
"chr1",2466930,2467348,418,9.1,2467048
"chr1",2467785,2468051,266,10,2467911
"chr1",2518770,2519138,368,9.1,2518991
"chr1",2519431,2519678,247,10,2519566
"chr1",2519919,2520405,486,16,2520049
"chr1",2520440,2520744,304,17,2520575
"chr1",2988473,2988751,278,14,2988616
"chr1",2988853,2989863,1010,14,2989725
"chr1",2990030,2990265,235,10,2990124
"chr1",2990351,2990775,424,12,2990527
"chr1",2992223,2992423,200,8.1,2992288
"chr1",2998121,2998344,223,11,2998215
