"chr","start","end","length","count","peak"
"chr1",1573639,1574209,570,22,1573774
"chr1",1574365,1575252,887,24,1574974
"chr1",1575584,1576190,606,19,1575730
"chr1",1576221,1576816,595,19,1576369
"chr1",1580458,1580729,271,44,1580585
"chr1",1580772,1581130,358,16,1580902
"chr1",1594939,1595155,216,15,1595039
"chr1",1596750,1597031,281,18,1596907
"chr1",1597231,1597488,257,9.5,1597359
"chr1",1602454,1602758,304,9.5,1602656
"chr1",1607673,1608132,459,36,1607806
"chr1",1614674,1615637,963,34,1615510
"chr1",1617484,1617745,261,16,1617632
"chr1",1635379,1635726,347,12,1635612
"chr1",1635957,1636954,997,24,1636212
"chr1",1637577,1637865,288,8.3,1637740
"chr1",1638431,1638805,374,16,1638671
"chr1",1639415,1639637,222,12,1639541
"chr1",1640186,1640638,452,42,1640461
"chr1",1640912,1641411,499,24,1641267
"chr1",1650117,1650546,429,40,1650257
"chr1",1651085,1651411,326,11,1651182
"chr1",1651844,1652222,378,9.5,1652077
"chr1",1657610,1657846,236,9.5,1657758
"chr1",1662542,1662812,270,29,1662682
"chr1",1664338,1664606,268,39,1664471
"chr1",1664942,1665212,270,28,1665084
"chr1",1665707,1665942,235,26,1665831
"chr1",1671776,1672039,263,17,1671922
"chr1",1684320,1684530,210,32,1684433
"chr1",1684854,1685512,658,13,1684977
"chr1",1690273,1691289,1016,19,1690457
"chr1",1691329,1691784,455,13,1691638
"chr1",1691837,1692267,430,26,1692032
"chr1",1692658,1692944,286,16,1692796
"chr1",1693082,1693485,403,17,1693163
"chr1",1698271,1698643,372,45,1698484
"chr1",1699369,1699603,234,18,1699481
"chr1",1703244,1703508,264,25,1703370
"chr1",1703623,1703858,235,28,1703772
"chr1",1706267,1706518,251,15,1706328
"chr1",1711301,1712203,902,21,1711908
"chr1",1722672,1722872,200,13,1722736
"chr1",1726561,1726817,256,21,1726668
"chr1",1739450,1739693,243,12,1739581
"chr1",1742570,1742796,226,37,1742692
"chr1",1742852,1743130,278,20,1743028
"chr1",1744271,1744570,299,12,1744404
"chr1",1746279,1746537,258,15,1746417
"chr1",1748108,1748555,447,39,1748311
"chr1",1756051,1756276,225,11,1756148
"chr1",1761708,1761947,239,27,1761810
"chr1",1763221,1763429,208,15,1763347
"chr1",1768710,1769255,545,35,1769089
"chr1",1769903,1770157,254,23,1770080
"chr1",1771006,1771288,282,14,1771205
"chr1",1771739,1771986,247,21,1771885
"chr1",1772363,1772601,238,22,1772468
"chr1",1781440,1781841,401,14,1781733
"chr1",1784434,1784663,229,28,1784543
"chr1",1786315,1786751,436,19,1786503
"chr1",1787861,1788140,279,9.5,1788039
"chr1",1793924,1794169,245,15,1794009
"chr1",1796459,1796691,232,17,1796589
"chr1",1797416,1797664,248,34,1797541
"chr1",1806636,1806894,258,26,1806746
"chr1",1810096,1810485,389,28,1810303
"chr1",1810866,1811124,258,18,1811008
"chr1",1811377,1811659,282,39,1811514
"chr1",1811758,1812090,332,43,1811903
"chr1",1812863,1813570,707,34,1813084
"chr1",1815406,1815941,535,45,1815518
"chr1",1819098,1819344,246,24,1819245
"chr1",1819878,1820273,395,30,1820171
"chr1",1821403,1822327,924,28,1821519
"chr1",1834607,1834828,221,33,1834699
"chr1",1847488,1848266,778,16,1847627
"chr1",1849165,1849542,377,13,1849459
"chr1",2109281,2109525,244,18,2109377
"chr1",2109632,2109971,339,11,2109767
"chr1",2112609,2113270,661,21,2112983
"chr1",2117373,2117786,413,19,2117494
"chr1",2117843,2118060,217,19,2117941
"chr1",2118093,2118300,207,19,2118177
"chr1",2118753,2119033,280,24,2118902
"chr1",2125328,2125645,317,12,2125509
"chr1",2126360,2126673,313,19,2126561
"chr1",2126764,2127237,473,13,2126882
"chr1",2134382,2135313,931,24,2134983
"chr1",2135385,2136337,952,42,2136085
"chr1",2136663,2137602,939,17,2136952
"chr1",2139672,2140049,377,8.3,2139793
"chr1",2140557,2140812,255,17,2140686
"chr1",2140950,2141726,776,16,2141579
"chr1",2141824,2142667,843,13,2142241
"chr1",2154498,2154745,247,16,2154597
"chr1",2155809,2156025,216,26,2155925
"chr1",2156179,2156708,529,16,2156282
"chr1",2242019,2243150,1131,16,2242840
"chr1",2243632,2244268,636,17,2243961
"chr1",2271125,2272014,889,11,2271705
"chr1",2278252,2278480,228,8.3,2278420
"chr1",2279025,2279325,300,13,2279225
"chr1",2279418,2279753,335,12,2279506
"chr1",2280479,2280682,203,15,2280570
"chr1",2286064,2286369,305,13,2286207
"chr1",2304480,2304709,229,9.5,2304564
"chr1",2304741,2304958,217,9.5,2304814
"chr1",2305048,2305262,214,9.5,2305168
"chr1",2306709,2306952,243,18,2306826
"chr1",2312323,2312543,220,18,2312429
"chr1",2317071,2317299,228,20,2317182
"chr1",2317606,2317819,213,17,2317685
"chr1",2317887,2318130,243,13,2318021
"chr1",2318245,2318964,719,16,2318380
"chr1",2320337,2320545,208,17,2320457
"chr1",2321158,2321446,288,20,2321287
"chr1",2321480,2322121,641,23,2321984
"chr1",2322225,2322445,220,15,2322320
"chr1",2322548,2322848,300,20,2322689
"chr1",2332794,2333094,300,21,2332959
"chr1",2334132,2334374,242,19,2334278
"chr1",2334798,2335065,267,17,2334922
"chr1",2338028,2338530,502,14,2338373
"chr1",2338757,2339045,288,17,2338924
"chr1",2339118,2339322,204,13,2339251
"chr1",2426063,2426329,266,14,2426182
"chr1",2426631,2426915,284,9.5,2426818
"chr1",2426948,2427423,475,12,2427035
"chr1",2429333,2429655,322,12,2429574
"chr1",2430681,2431004,323,11,2430883
"chr1",2431322,2431558,236,12,2431459
"chr1",2431620,2432242,622,30,2432125
"chr1",2432442,2433016,574,23,2432876
"chr1",2433050,2433751,701,16,2433490
"chr1",2436747,2436973,226,19,2436856
"chr1",2444133,2445238,1105,17,2445113
"chr1",2448364,2448841,477,28,2448689
"chr1",2448897,2449424,527,29,2449031
"chr1",2449481,2449764,283,21,2449654
"chr1",2453649,2454147,498,27,2453768
"chr1",2474424,2474634,210,12,2474496
"chr1",2475412,2475736,324,12,2475627
"chr1",2514999,2515342,343,17,2515226
"chr1",2515378,2515740,362,8.3,2515410
"chr1",2516438,2517465,1027,30,2516932
"chr1",2534784,2535127,343,9.5,2535025
"chr1",2536298,2536771,473,9.5,2536672
"chr1",2566646,2567228,582,20,2566982
"chr1",2567340,2567611,271,6.3,2567378
"chr1",2568178,2568392,214,27,2568305
"chr1",2568904,2569223,319,12,2569167
"chr1",2570055,2570407,352,18,2570192
"chr1",2570669,2571710,1041,34,2570965
"chr1",2571745,2572228,483,18,2572007
"chr1",2977551,2977862,311,25,2977634
"chr1",2977983,2978373,390,18,2978195
"chr1",2978643,2979051,408,21,2978921
"chr1",2979130,2979622,492,18,2979502
"chr1",2981592,2981860,268,16,2981741
"chr1",2982018,2982786,768,21,2982329
"chr1",2982882,2984081,1199,24,2983398
"chr1",2984130,2984681,551,11,2984384
