chr	start	end	length	count	peak
chr1	1608807	1609128	321	11.0	1609034
chr1	1609252	1610529	1277	32.0	1609840
chr1	1614899	1615262	363	18.0	1615055
chr1	1615414	1615639	225	10.0	1615517
chr1	1634405	1634608	203	17.0	1634499
chr1	1634770	1634977	207	9.1	1634861
chr1	1635042	1635278	236	9.1	1635135
chr1	1635592	1635862	270	8.1	1635727
chr1	1636050	1636433	383	21.0	1636145
chr1	1636477	1636969	492	20.0	1636822
chr1	1637035	1637237	202	10.0	1637114
chr1	1638409	1638774	365	15.0	1638539
chr1	1640206	1640626	420	28.0	1640337
chr1	1641070	1641385	315	12.0	1641212
chr1	1645955	1647032	1077	52.0	1646472
chr1	1647069	1647933	864	72.0	1647529
chr1	1649109	1650048	939	24.0	1649800
chr1	1650104	1650701	597	42.0	1650393
chr1	1651120	1651379	259	7.0	1651307
chr1	1660838	1661072	234	14.0	1660957
chr1	1662569	1662812	243	24.0	1662710
chr1	1665693	1665943	250	10.0	1665828
chr1	1671226	1671519	293	13.0	1671405
chr1	1671628	1672029	401	8.1	1671796
chr1	1684339	1684753	414	15.0	1684431
chr1	1685618	1686648	1030	32.0	1685944
chr1	1686781	1687994	1213	26.0	1687535
chr1	1688041	1690074	2033	57.0	1688984
chr1	1690152	1692212	2060	16.0	1692030
chr1	1692338	1692612	274	20.0	1692476
chr1	1692740	1692957	217	11.0	1692819
chr1	1693029	1693231	202	12.0	1693137
chr1	1698341	1698617	276	27.0	1698475
chr1	1699353	1699598	245	11.0	1699488
chr1	1703254	1703458	204	12.0	1703343
chr1	1703641	1703856	215	16.0	1703751
chr1	1711700	1712089	389	9.1	1711952
chr1	1726574	1726956	382	23.0	1726673
chr1	1728032	1728235	203	10.0	1728152
chr1	1742542	1742759	217	9.1	1742658
chr1	1742853	1743124	271	10.0	1742991
chr1	1747345	1748018	673	43.0	1747584
chr1	1748125	1748487	362	23.0	1748296
chr1	1761708	1761927	219	24.0	1761806
chr1	1763221	1763432	211	14.0	1763347
chr1	1768700	1768956	256	15.0	1768810
chr1	1768991	1769241	250	22.0	1769099
chr1	1769884	1770154	270	18.0	1770062
chr1	1771559	1771958	399	12.0	1771842
chr1	1772363	1772582	219	13.0	1772451
chr1	1784219	1784641	422	32.0	1784542
chr1	1787869	1788106	237	9.1	1787975
chr1	1788731	1788969	238	8.1	1788853
chr1	1797406	1797664	258	28.0	1797540
chr1	1799943	1800209	266	9.1	1800046
chr1	1801304	1801590	286	43.0	1801454
chr1	1802780	1803681	901	41.0	1803539
chr1	1803716	1804286	570	52.0	1804026
chr1	1806635	1806875	240	23.0	1806746
chr1	1809856	1810755	899	57.0	1810308
chr1	1810866	1811134	268	13.0	1811011
chr1	1811366	1811662	296	38.0	1811496
chr1	1811757	1812022	265	27.0	1811901
chr1	1812524	1812810	286	9.1	1812665
chr1	1812875	1813193	318	10.0	1812927
chr1	1815407	1815940	533	31.0	1815512
chr1	1819098	1819344	246	14.0	1819241
chr1	1820002	1820270	268	18.0	1820170
chr1	1821384	1821716	332	20.0	1821513
chr1	1847417	1847834	417	16.0	1847553
chr1	1848870	1849212	342	10.0	1848924
chr1	1874462	1874676	214	10.0	1874572
chr1	2109626	2109890	264	7.0	2109719
chr1	2112678	2113068	390	14.0	2112869
chr1	2117366	2117645	279	12.0	2117475
chr1	2117703	2117944	241	10.0	2117901
chr1	2117979	2118228	249	14.0	2118073
chr1	2118756	2119488	732	43.0	2119231
chr1	2122199	2122759	560	42.0	2122461
chr1	2123244	2123579	335	8.1	2123369
chr1	2126327	2127251	924	20.0	2126460
chr1	2128416	2128621	205	8.1	2128502
chr1	2130390	2130702	312	7.0	2130628
chr1	2134377	2136321	1944	20.0	2136034
chr1	2136803	2137213	410	10.0	2136928
chr1	2140546	2140861	315	14.0	2140680
chr1	2140934	2141665	731	13.0	2141066
chr1	2142192	2142627	435	8.1	2142429
chr1	2155808	2156015	207	17.0	2155902
chr1	2158282	2158504	222	8.1	2158332
chr1	2240162	2240674	512	12.0	2240550
chr1	2241696	2241919	223	8.1	2241776
chr1	2242223	2242424	201	12.0	2242320
chr1	2243245	2244335	1090	17.0	2243893
chr1	2244377	2244728	351	8.1	2244702
chr1	2244785	2245275	490	12.0	2245153
chr1	2271378	2271717	339	10.0	2271482
chr1	2275079	2275280	201	9.1	2275178
chr1	2278198	2278422	224	10.0	2278310
chr1	2278512	2278933	421	10.0	2278626
chr1	2279017	2279314	297	7.0	2279117
chr1	2279620	2280114	494	8.1	2279845
chr1	2282353	2283153	800	10.0	2282586
chr1	2285089	2285337	248	9.1	2285189
chr1	2285978	2286327	349	13.0	2286090
chr1	2304707	2304925	218	7.0	2304805
chr1	2306708	2310419	3711	55.0	2308875
chr1	2310976	2311176	200	13.0	2311051
chr1	2311354	2311938	584	16.0	2311502
chr1	2312008	2312978	970	19.0	2312460
chr1	2313176	2313623	447	9.1	2313396
chr1	2314333	2317006	2673	89.0	2315414
chr1	2317063	2317311	248	16.0	2317187
chr1	2317346	2318441	1095	16.0	2318026
chr1	2318493	2318966	473	11.0	2318823
chr1	2321165	2321424	259	14.0	2321286
chr1	2321478	2321870	392	11.0	2321567
chr1	2321902	2322122	220	12.0	2321983
chr1	2332794	2333078	284	13.0	2332963
chr1	2334052	2334320	268	10.0	2334199
chr1	2334765	2334996	231	12.0	2334906
chr1	2335852	2337384	1532	48.0	2336431
chr1	2337441	2337757	316	8.1	2337629
chr1	2338348	2339025	677	14.0	2338489
chr1	2339074	2339307	233	14.0	2339188
chr1	2339530	2343821	4291	58.0	2342104
chr1	2426066	2427793	1727	13.0	2426992
chr1	2428503	2428939	436	11.0	2428648
chr1	2430098	2430362	264	8.1	2430269
chr1	2431195	2432250	1055	32.0	2431725
chr1	2432418	2436635	4217	39.0	2435168
chr1	2436716	2440027	3311	37.0	2438634
chr1	2440096	2442851	2755	45.0	2441659
chr1	2443166	2443699	533	14.0	2443304
chr1	2444065	2444862	797	12.0	2444182
chr1	2444906	2449753	4847	67.0	2447399
chr1	2449812	2453957	4145	29.0	2449955
chr1	2454107	2454308	201	15.0	2454232
chr1	2454587	2457754	3167	45.0	2454802
chr1	2516428	2516986	558	15.0	2516503
chr1	2517124	2517427	303	9.1	2517313
chr1	2533810	2534045	235	10.0	2533903
chr1	2535222	2535529	307	7.0	2535286
chr1	2536345	2536627	282	11.0	2536444
chr1	2565717	2565950	233	18.0	2565839
chr1	2566636	2567499	863	20.0	2567297
chr1	2568110	2568638	528	34.0	2568259
chr1	2568847	2569527	680	26.0	2569202
chr1	2569921	2571711	1790	30.0	2570951
chr1	2571742	2572418	676	14.0	2572278
chr1	2572651	2574191	1540	59.0	2573869
chr1	2977275	2978330	1055	12.0	2977400
chr1	2980294	2980578	284	7.0	2980431
chr1	2981524	2981888	364	17.0	2981745
chr1	2982233	2982767	534	13.0	2982363
chr1	2982830	2984529	1699	15.0	2982975
